Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0
168808,Wormhole Generator: Zandalar,120,Consumable,Explosives and Devices,20000,5000,8738028,7100000,36,36,12600653,6423610,4452410,7,8155760,0,0,0,,
169858,"""Bee Bee"" Gun",1,Consumable,Explosives and Devices,0,1,96385,95100,1,1,294279,2380887,1823370,6,1701749,0,0,0,,
118,Minor Healing Potion,5,Consumable,Potion,20,5,55566,7500,217,16,26405,40855,27639,28,51356,0,0,0,,
858,Lesser Healing Potion,13,Consumable,Potion,100,25,14613,20000,152,6,10564,24260,16865,29,28487,0,0,0,,
929,Healing Potion,22,Consumable,Potion,300,75,18212,10000,98,7,24224,25705,20431,22,37013,0,0,0,,
1710,Greater Healing Potion,31,Consumable,Potion,500,125,20266,20000,20,5,13243,39936,24940,19,40239,0,0,0,,
2455,Minor Mana Potion,15,Consumable,Potion,40,10,6855,5000,33,7,17147,47797,21676,14,54525,0,0,0,,
2456,Minor Rejuvenation Potion,15,Consumable,Potion,60,15,12407,20100,21,2,86797,92528,89037,13,58081,0,0,0,,
2459,Swiftness Potion,15,Consumable,Potion,100,25,103470,44900,255,24,67282,189392,119648,183,119489,0,0,0,,
3385,Lesser Mana Potion,24,Consumable,Potion,120,30,10060,6000,175,12,36151,28617,20764,16,40718,0,0,0,,
3386,Potion of Curing,55,Consumable,Potion,140,35,590764,626500,16,2,227983,1138522,1147362,7,975197,0,0,0,,
3387,Limited Invulnerability Potion,50,Consumable,Potion,120,30,0,0,0,0,0,124021957,139828180,2,55563085,0,0,0,,
3823,Lesser Invisibility Potion,33,Consumable,Potion,400,100,1074036,100,13,1,552223,750251,795051,27,903702,0,0,0,,
3827,Mana Potion,32,Consumable,Potion,480,120,15041,10000,62,5,61046,56571,43880,14,82651,0,0,0,,
3928,Superior Healing Potion,45,Consumable,Potion,1000,250,32949,12600,254,10,22051,36907,24758,33,50806,0,0,0,,
4596,Discolored Healing Potion,15,Consumable,Potion,100,25,101928423,0,0,0,65537675,3776817,5167100,1,16366599,0,0,0,,
4623,Lesser Stoneshield Potion,43,Consumable,Potion,1500,375,0,0,0,0,0,28007590,524937500,1,13389022,0,0,0,,
5631,Rage Potion,14,Consumable,Potion,120,30,23394251,32640900,1,1,9179439,10089059,11466494,5,5261203,0,0,0,,
5633,Great Rage Potion,35,Consumable,Potion,600,150,108257039,109634100,1,1,128981918,59929743,76454816,4,88032970,0,0,0,,
5634,Free Action Potion,30,Consumable,Potion,300,75,812951,0,0,0,3474856,2585584,2390875,9,2920669,0,0,0,,
6048,Shadow Protection Potion,27,Consumable,Potion,400,100,56753854,3003000,132,6,40393547,11246462,12263941,13,13027013,0,0,0,,
6049,Fire Protection Potion,33,Consumable,Potion,680,170,2099515,0,0,0,85754677,39079573,47135594,3,44285110,0,0,0,,
6050,Frost Protection Potion,38,Consumable,Potion,1200,300,18796088,888900,17,2,23558704,8001451,6353700,5,7497056,0,0,0,,
6051,Holy Protection Potion,20,Consumable,Potion,250,62,313346,0,0,0,2804812,1132571,757151,10,1436361,0,0,0,,
6052,Nature Protection Potion,38,Consumable,Potion,1200,300,275954,0,0,0,85786,390155,296656,10,424311,0,0,0,,
6149,Greater Mana Potion,41,Consumable,Potion,1200,300,26895,30200,31,6,21507,59977,40155,14,70348,0,0,0,,
